House,Predicted,Target,Exe_time,RMSE,Perc_error,maxZVal,ABS_ERROR,
24bc57fa-ba23-4374-ac51-d434e6bf410f,2272.697199,1987,37.82493687,285.697199,0.14378319,6.5,0.14378319,0.135639462
5855a906-aefa-4ae0-be10-80aa587ee982,3249.454959,2920,24.04159904,329.4549586,0.112827041,4.5,0.112827041,
989f9066-5eec-4d2e-b684-c631a9937243,3494.56024,2894,32.91450095,600.5602398,0.207519088,4.5,0.207519088,
a111a354-2b38-4f9f-a3c8-23dccec3e4e6,2505.945894,3036,41.09461188,530.0541063,-0.174589627,8.5,0.174589627,
a1ae3f44-5878-4d30-898d-4dd4b33f8cfa,4438.144088,4358,29.88312221,80.14408787,0.018390107,5.5,0.018390107,
ae7a28a6-02bc-4fa6-858b-ab1a6dc5a99f,2700,2240,10000,460,0.205357143,6,0.205357143,
b718aabc-6b8a-42c9-920e-3378addd5810-P,2442.377407,2947,42.74852109,504.6225925,-0.171232641,5.5,0.171232641,
ba9b993d-c107-451f-9ba2-c6c8a79a18a2,2512.886287,2390,27.27434707,122.8862874,0.051416857,4.5,0.051416857,
b817e6c4-4176-4211-a5c8-77b54fe2e04e,9660.168713,2398,22.20462012,7262.168713,3.02842732,2.5,3.02842732,
