House,Predicted,Target,Exe_time,RMSE,Perc_error,,
24bc57fa-ba23-4374-ac51-d434e6bf410f,1633.386664,1987,130.9065042,353.6133361,-0.17796343,0.17796343,0.290114058
5855a906-aefa-4ae0-be10-80aa587ee982,2087.595401,2920,86.665869,832.4045993,-0.285070068,0.285070068,
989f9066-5eec-4d2e-b684-c631a9937243,3022.693615,2894,142.9311819,128.6936151,0.044469114,0.044469114,
a111a354-2b38-4f9f-a3c8-23dccec3e4e6,1493.476936,3036,138.139708,1542.523064,-0.508077425,0.508077425,
a1ae3f44-5878-4d30-898d-4dd4b33f8cfa,3423.157453,4358,114.336195,934.8425466,-0.214511828,0.214511828,
ae7a28a6-02bc-4fa6-858b-ab1a6dc5a99f,2700,2240,10000,460,0.205357143,0.205357143,
b718aabc-6b8a-42c9-920e-3378addd5810-P,1614.707919,2947,150.2668688,1332.292081,-0.452084181,0.452084181,
ba9b993d-c107-451f-9ba2-c6c8a79a18a2,1354.223538,2390,106.8692508,1035.776462,-0.433379273,0.433379273,
b817e6c4-4176-4211-a5c8-77b54fe2e04e,6631.200427,2398,70.12107801,4233.200427,1.765304598,,
