House,Predicted,Predicted_3d,Target,Exe_time,RMSE,RMSE_3d,Perc_error_3d,Perc_error,maxZVal,major_pitch
312d39cd-cb1d-4919-b04e-155b3a994e56,2812.7109253251137,2214.01,1677.0,36.59735298156738,1135.7109253251137,537.012939453125,0.32022238488558435,0.6772277431873069,3.5,1.11655
3553c4de-32a7-4d8d-86a9-41ba64fd8110,544.647515020444,350.929,2291.0,33.623246908187866,1746.352484979556,1940.0705871582031,-0.84682260460855663,-0.7622664709644504,3.5,1.00006
36a7280b-7fc8-4025-927a-f110224eb129,3276.7710720089935,3567.64,3216.0,52.647217988967896,60.771072008993542,351.63720703125,0.10933992755946828,0.018896477614736798,3.5,1.17784
36b79ca4-a49a-4375-a8e1-1f07f015a9e3,2456.877012279227,2562.29,1945.0,37.2722008228302,511.87701227922707,617.287353515625,0.3173713899823265,0.2631758417888057,3.5,1.09808
386c8780-d81e-43ba-b4c5-1929abc177cc,2963.3354260833657,3064.86,999.12345,25.73214888572693,1964.2119760833657,2065.73641328125,2.0675487231144958,1.9659352165974742,4.5,1.0596
3a1a4013-2ce3-48d7-9c9d-ac19f5c6c8d9,2288.811564793374,1494.92,2458.0,37.08691692352295,169.18843520662585,963.0755615234375,-0.39181267759293631,-0.06883174743963623,5.5,1.16626
3c75691b-b774-41d3-9057-a47aa0287b3f,3052.1826161788604,3310.68,3062.0,51.50011110305786,9.8173838211396287,248.677978515625,0.081214232042986612,-0.003206199810953504,4.5,1.19241
3c84db7a-b9c8-40bb-bc40-6fbb629e1c3f,2393.3015022916416,3222.61,1757.0,38.41579985618591,636.30150229164155,1465.614990234375,0.83415764953578542,0.36215224945454844,6.5,1.03784
40dd7f5a-b1ee-4578-9529-96c009d08b26,1355.5241173573643,760.075,2398.0,41.72685694694519,1042.4758826426357,1637.9254760742188,-0.68303814681994113,-0.4347272237875879,3.5,1.11721
421be199-02e8-4ad4-8357-f6f5b6c52407,2812.7920172888303,3112.92,2051.0,40.041603088378906,761.79201728883027,1061.918212890625,0.51775632027821794,0.37142467932171147,3.5,1.05981
